cohort_year,segment,campPlaced,weighted_count,weighted_return_rate,unweighted_n
1986,age30plus,all,2.003603151061819,0.16341884981887242,4
1986,age30plus,no,1.676176628621828,0.0,2
1986,age30plus,yes,0.208835873146977,1.0,1
1986,overall,all,2.003603151061819,0.16341884981887242,4
1986,overall,no,1.676176628621828,0.0,2
1986,overall,yes,0.208835873146977,1.0,1
1987,age30plus,all,0.197415371962664,0.0,1
1987,age30plus,yes,0.197415371962664,0.0,1
1987,overall,all,0.197415371962664,0.0,1
1987,overall,yes,0.197415371962664,0.0,1
1988,age30plus,all,1.184803176893635,0.0,2
1988,age30plus,no,1.184803176893635,0.0,2
1988,overall,all,1.184803176893635,0.0,2
1988,overall,no,1.184803176893635,0.0,2
1990,age30plus,all,0.115056846885864,1.0,1
1990,age30plus,yes,0.115056846885864,1.0,1
1990,overall,all,0.115056846885864,1.0,1
1990,overall,yes,0.115056846885864,1.0,1
1991,age30plus,all,0.907191620062443,0.18918936268907824,2
1991,age30plus,yes,0.907191620062443,0.18918936268907824,2
1991,overall,all,1.0128540256305691,0.1694528531193172,3
1991,overall,yes,0.907191620062443,0.18918936268907824,2
1991,under30,all,0.105662405568126,0.0,1
1993,age30plus,all,0.387660717334339,0.0,2
1993,age30plus,yes,0.387660717334339,0.0,2
1993,overall,all,0.387660717334339,0.0,2
1993,overall,yes,0.387660717334339,0.0,2
1994,age30plus,all,3.935489335737002,0.6501146489237123,9
1994,age30plus,no,0.360460415328988,1.0,1
1994,age30plus,yes,2.845981915690587,0.516170478702005,7
1994,overall,all,3.935489335737002,0.6501146489237123,9
1994,overall,no,0.360460415328988,1.0,1
1994,overall,yes,2.845981915690587,0.516170478702005,7
1995,age30plus,all,5.226787651565683,0.5093325098480246,11
1995,age30plus,no,1.902948460484929,0.23214003929258736,4
1995,age30plus,yes,3.3238391910807543,0.6680294126695989,7
1995,overall,all,5.226787651565683,0.5093325098480246,11
1995,overall,no,1.902948460484929,0.23214003929258736,4
1995,overall,yes,3.3238391910807543,0.6680294126695989,7
1996,age30plus,all,10.702452458809411,0.4049897833367582,19
1996,age30plus,no,0.41235784776295703,1.0,2
1996,age30plus,yes,10.290094611046452,0.38114577202156263,17
1996,overall,all,10.702452458809411,0.4049897833367582,19
1996,overall,no,0.41235784776295703,1.0,2
1996,overall,yes,10.290094611046452,0.38114577202156263,17
1997,age30plus,all,12.88199710542635,0.7173406853331542,29
1997,age30plus,no,3.91328871808788,0.6755068812111824,4
1997,age30plus,yes,8.16687313520822,0.7096341312951943,22
1997,overall,all,12.88199710542635,0.7173406853331542,29
1997,overall,no,3.91328871808788,0.6755068812111824,4
1997,overall,yes,8.16687313520822,0.7096341312951943,22
1998,age30plus,all,10.905188707424294,0.8418437290564734,27
1998,age30plus,no,1.0470309705037,0.6082181536225844,3
1998,age30plus,yes,9.858157736920592,0.8666570075116262,24
1998,overall,all,10.905188707424294,0.8418437290564734,27
1998,overall,no,1.0470309705037,0.6082181536225844,3
1998,overall,yes,9.858157736920592,0.8666570075116262,24
1999,age30plus,all,17.734894268002993,0.8185614556583705,39
1999,age30plus,no,3.00655217532462,0.8582884585561569,9
1999,age30plus,yes,14.104214831070623,0.8020641141474539,28
1999,overall,all,17.734894268002993,0.8185614556583705,39
1999,overall,no,3.00655217532462,0.8582884585561569,9
1999,overall,yes,14.104214831070623,0.8020641141474539,28
2000,age30plus,all,20.253624237868355,0.583632851898009,50
2000,age30plus,no,2.1304029987326083,0.9197057007104414,6
2000,age30plus,yes,17.884765310703543,0.5380490376511405,43
2000,overall,all,20.253624237868355,0.583632851898009,50
2000,overall,no,2.1304029987326083,0.9197057007104414,6
2000,overall,yes,17.884765310703543,0.5380490376511405,43
2001,age30plus,all,12.713974826644513,0.840994065009043,36
2001,age30plus,no,2.5846302093685374,1.0,6
2001,age30plus,yes,9.840119994676474,0.7945556094990927,29
2001,overall,all,13.121465476809234,0.8459320372152745,37
2001,overall,no,2.992120859533257,1.0,7
2001,overall,yes,9.840119994676474,0.7945556094990927,29
2001,under30,all,0.40749065016472,1.0,1
2001,under30,no,0.40749065016472,1.0,1
2002,age30plus,all,21.795823243600598,0.47761011671868164,48
2002,age30plus,no,1.4788919744828521,1.0,7
2002,age30plus,yes,20.316931269117745,0.4395847773747384,41
2002,overall,all,21.795823243600598,0.47761011671868164,48
2002,overall,no,1.4788919744828521,1.0,7
2002,overall,yes,20.316931269117745,0.4395847773747384,41
2003,age30plus,all,14.647978443281396,0.663275190762935,49
2003,age30plus,no,1.830867548873152,0.7603525522452319,7
2003,age30plus,yes,11.030520086207318,0.7193727697444428,40
2003,overall,all,15.877648359822267,0.61190678090868,50
2003,overall,no,1.830867548873152,0.7603525522452319,7
2003,overall,yes,12.260190002748187,0.647221273435239,41
2003,under30,all,1.22966991654087,0.0,1
2003,under30,yes,1.22966991654087,0.0,1
2004,age30plus,all,25.292212585732155,0.7814092941720249,51
2004,age30plus,no,2.538079701618085,0.8713415555900306,8
2004,age30plus,yes,17.917393161695564,0.7096621607886064,42
2004,overall,all,25.292212585732155,0.7814092941720249,51
2004,overall,no,2.538079701618085,0.8713415555900306,8
2004,overall,yes,17.917393161695564,0.7096621607886064,42
2005,age30plus,all,17.1237953652969,0.5711534856801819,46
2005,age30plus,no,5.418838249032053,0.1826919669961952,8
2005,age30plus,yes,11.70495711626485,0.7509926866967158,38
2005,overall,all,17.1237953652969,0.5711534856801819,46
2005,overall,no,5.418838249032053,0.1826919669961952,8
2005,overall,yes,11.70495711626485,0.7509926866967158,38
2006,age30plus,all,37.40174548762436,0.7254298218515385,84
2006,age30plus,no,4.128970402200283,0.7222738389407709,11
2006,age30plus,yes,33.03431915699187,0.7238423235146558,72
2006,overall,all,37.40174548762436,0.7254298218515385,84
2006,overall,no,4.128970402200283,0.7222738389407709,11
2006,overall,yes,33.03431915699187,0.7238423235146558,72
2007,age30plus,all,36.001415234304744,0.5313766280434057,80
2007,age30plus,no,8.651278897832256,0.20698603190599124,11
2007,age30plus,yes,27.133442695760788,0.6310634184280832,68
2007,overall,all,36.439784169262,0.5370141457495059,81
2007,overall,no,9.08964783278951,0.24523093368816648,12
2007,overall,yes,27.133442695760788,0.6310634184280832,68
2007,under30,all,0.438368934957254,1.0,1
2007,under30,no,0.438368934957254,1.0,1
2008,age30plus,all,38.463047630181734,0.6343279242249481,89
2008,age30plus,no,5.75000597544775,0.600454005114178,15
2008,age30plus,yes,32.29697648027772,0.6421140305992761,72
2008,overall,all,38.463047630181734,0.6343279242249481,89
2008,overall,no,5.75000597544775,0.600454005114178,15
2008,overall,yes,32.29697648027772,0.6421140305992761,72
2009,age30plus,all,43.947262212878684,0.6427630727503487,97
2009,age30plus,no,7.584565979207531,0.8631648308218743,16
2009,age30plus,yes,36.36269623367116,0.5967914631291977,81
2009,overall,all,44.370085318935864,0.6366378855453745,98
2009,overall,no,7.584565979207531,0.8631648308218743,16
2009,overall,yes,36.78551933972834,0.5899317741907797,82
2009,under30,all,0.422823106057187,0.0,1
2009,under30,yes,0.422823106057187,0.0,1
2010,age30plus,all,58.47312691798243,0.7237517114900979,128
2010,age30plus,no,19.46087564528142,0.5657270346762744,39
2010,age30plus,yes,38.554034339801106,0.8002344192371222,87
2010,overall,all,58.8583333342046,0.7255596562139179,129
2010,overall,no,19.46087564528142,0.5657270346762744,39
2010,overall,yes,38.939240756023295,0.8022106001270463,88
2010,under30,all,0.385206416222177,1.0,1
2010,under30,yes,0.385206416222177,1.0,1
2011,age30plus,all,50.72518973092352,0.633149511415216,114
2011,age30plus,no,13.57617544652062,0.3384146237402577,25
2011,age30plus,yes,37.1490142844029,0.7408609170167844,89
2011,overall,all,53.68081315299166,0.6045274261039826,117
2011,overall,no,15.1659024232917,0.3029411753638865,26
2011,overall,yes,38.51491072969996,0.7232821515927701,91
2011,under30,all,2.955623422068142,0.11330763908149223,3
2011,under30,no,1.58972697677108,0.0,1
2011,under30,yes,1.365896445297062,0.24518309065199118,2
2012,age30plus,all,61.69904654571332,0.5834049539010252,131
2012,age30plus,no,14.425470414811736,0.31641611332020847,28
2012,age30plus,yes,45.87962413337093,0.6716375613349557,98
2012,overall,all,61.69904654571332,0.5834049539010252,131
2012,overall,no,14.425470414811736,0.31641611332020847,28
2012,overall,yes,45.87962413337093,0.6716375613349557,98
2013,age30plus,all,103.80123295216816,0.6278297246099233,182
2013,age30plus,no,24.170386598640114,0.46359668777482993,38
2013,age30plus,yes,78.30926601827056,0.6869245500548627,142
2013,overall,all,108.11556604104925,0.6426811155114309,185
2013,overall,no,25.850330383064534,0.49845610337857427,39
2013,overall,yes,80.94365532272724,0.6971138924256148,144
2013,under30,all,4.314333088881092,1.0,3
2013,under30,no,1.67994378442442,1.0,1
2013,under30,yes,2.634389304456672,1.0,2
2014,age30plus,all,130.2493834579517,0.5475292683013868,182
2014,age30plus,no,22.73341692655707,0.5712968355206314,38
2014,age30plus,yes,106.8011619427121,0.543579426082049,141
2014,overall,all,130.2493834579517,0.5475292683013868,182
2014,overall,no,22.73341692655707,0.5712968355206314,38
2014,overall,yes,106.8011619427121,0.543579426082049,141
2015,age30plus,all,145.52570923478595,0.5032815479462484,196
2015,age30plus,no,34.52022353406025,0.4156467653436131,38
2015,age30plus,yes,109.45483887158603,0.523883080189103,155
2015,overall,all,148.7494876055409,0.49555461178662114,199
2015,overall,no,34.52022353406025,0.4156467653436131,38
2015,overall,yes,112.67861724234099,0.5130931663766236,158
2015,under30,all,3.2237783707549443,0.14675027863442072,3
2015,under30,yes,3.2237783707549443,0.14675027863442072,3
2016,age30plus,all,198.48894771097252,0.6221500275418584,217
2016,age30plus,no,53.829781069299855,0.659409965508994,55
2016,age30plus,yes,140.2229102520364,0.6086491644219976,159
2016,overall,all,198.48894771097252,0.6221500275418584,217
2016,overall,no,53.829781069299855,0.659409965508994,55
2016,overall,yes,140.2229102520364,0.6086491644219976,159
2017,age30plus,all,232.73833781294815,0.6674288946391174,199
2017,age30plus,no,43.85405564582518,0.7219457071395222,42
2017,age30plus,yes,183.82133765005838,0.6710454073858372,154
2017,overall,all,237.36233320335856,0.6739076279638985,201
2017,overall,no,43.85405564582518,0.7219457071395222,42
2017,overall,yes,188.44533304046885,0.6791171621773214,156
2017,under30,all,4.62399539041046,1.0,2
2017,under30,yes,4.62399539041046,1.0,2
2018,age30plus,all,352.17745393281905,0.7936712439145734,224
2018,age30plus,no,75.72303273822654,0.7531926413726192,52
2018,age30plus,yes,263.9519276837192,0.7985979043023741,163
2018,overall,all,373.6170151243306,0.7857452419711772,233
2018,overall,no,80.72725072048658,0.7342188499856622,55
2018,overall,yes,280.3872708929706,0.7939329465352324,169
2018,under30,all,21.439561191511526,0.6555485854557939,9
2018,under30,no,5.004217982260046,0.4471104483420635,3
2018,under30,yes,16.435343209251478,0.7190136351753623,6
2022,age30plus,all,507.41479718700043,0.7892627721927294,358
2022,age30plus,no,79.26256127887478,0.7512915688526846,59
2022,age30plus,yes,424.49012556687023,0.7987714160513294,297
2022,overall,all,558.8515127883677,0.8014276663560357,386
2022,overall,no,84.9667385674093,0.7679884199774578,62
2022,overall,yes,468.87868336334907,0.8092026543549269,321
2022,under30,all,51.43671560136736,0.921432360133786,28
2022,under30,no,5.70417728853451,1.0,3
2022,under30,yes,44.38855779647882,0.908957137877778,24
2023,age30plus,all,435.7514941741824,0.7278487052513588,341
2023,age30plus,no,85.76460571033104,0.6775022859215261,72
2023,age30plus,yes,341.3229673962666,0.7463605332666015,260
2023,overall,all,498.04446605538277,0.7295956260019112,377
2023,overall,no,100.95050275250414,0.6972995868173307,81
2023,overall,yes,386.7198510409725,0.7464650880708407,286
2023,under30,all,62.292971881200295,0.7418156775465523,36
2023,under30,no,15.18589704217309,0.8091077796914286,9
2023,under30,yes,45.39688364470594,0.7472511983315755,26
2024,age30plus,all,426.0047711928179,0.9783135722364504,348
2024,age30plus,no,87.01797158155594,0.9807158395656377,72
2024,age30plus,yes,322.60379655348066,0.9765642771302736,264
2024,overall,all,480.86577899682686,0.9747877726136095,380
2024,overall,no,92.86336302995879,0.9819297032769514,77
2024,overall,yes,370.3129015626815,0.9717924252877206,290
2024,under30,all,54.861007804009006,0.9474093572012279,32
2024,under30,no,5.845391448402827,1.0,5
2024,under30,yes,47.709105009200805,0.9395256803822903,26
