year,cohort_type,set_a,theme_a_id,theme_a_label,set_b,theme_b_id,theme_b_label,n_cohorts,correlation
2024,burn_status,B - Symbolism,t4,place / love / community,C - Emotions,t4,art / love / nova,4,-0.1315
2024,burn_status,B - Symbolism,t4,place / love / community,C - Emotions,t0,all / some / lack,4,0.646
2024,burn_status,B - Symbolism,t4,place / love / community,C - Emotions,t3,freedom / happy / would,4,0.0522
2024,burn_status,B - Symbolism,t4,place / love / community,C - Emotions,t8,myself / camp / night,4,0.8049
2024,burn_status,B - Symbolism,t4,place / love / community,C - Emotions,t6,friends / lost / most,4,0.5673
2024,burn_status,B - Symbolism,t4,place / love / community,C - Emotions,t5,excitement / lights / all,4,-0.941
2024,burn_status,B - Symbolism,t4,place / love / community,C - Emotions,t2,campmates / all / missing,4,0.2039
2024,burn_status,B - Symbolism,t4,place / love / community,C - Emotions,t1,laughter / there / excitement,4,0.6798
2024,burn_status,B - Symbolism,t4,place / love / community,C - Emotions,t9,overwhelmed / here / friend,4,0.9348
2024,burn_status,B - Symbolism,t4,place / love / community,C - Emotions,t7,joy / friend / happiness,4,-0.9409
2024,burn_status,B - Symbolism,t0,away / others / free,C - Emotions,t4,art / love / nova,4,0.3691
2024,burn_status,B - Symbolism,t0,away / others / free,C - Emotions,t0,all / some / lack,4,-0.6441
2024,burn_status,B - Symbolism,t0,away / others / free,C - Emotions,t3,freedom / happy / would,4,-0.0622
2024,burn_status,B - Symbolism,t0,away / others / free,C - Emotions,t8,myself / camp / night,4,-0.539
2024,burn_status,B - Symbolism,t0,away / others / free,C - Emotions,t6,friends / lost / most,4,-0.5373
2024,burn_status,B - Symbolism,t0,away / others / free,C - Emotions,t5,excitement / lights / all,4,0.8927
2024,burn_status,B - Symbolism,t0,away / others / free,C - Emotions,t2,campmates / all / missing,4,-0.3112
2024,burn_status,B - Symbolism,t0,away / others / free,C - Emotions,t1,laughter / there / excitement,4,-0.4921
2024,burn_status,B - Symbolism,t0,away / others / free,C - Emotions,t9,overwhelmed / here / friend,4,-0.796
2024,burn_status,B - Symbolism,t0,away / others / free,C - Emotions,t7,joy / friend / happiness,4,0.7514
2024,burn_status,B - Symbolism,t3,stories / here / there,C - Emotions,t4,art / love / nova,4,0.3691
2024,burn_status,B - Symbolism,t3,stories / here / there,C - Emotions,t0,all / some / lack,4,-0.6441
2024,burn_status,B - Symbolism,t3,stories / here / there,C - Emotions,t3,freedom / happy / would,4,-0.0622
2024,burn_status,B - Symbolism,t3,stories / here / there,C - Emotions,t8,myself / camp / night,4,-0.539
2024,burn_status,B - Symbolism,t3,stories / here / there,C - Emotions,t6,friends / lost / most,4,-0.5373
2024,burn_status,B - Symbolism,t3,stories / here / there,C - Emotions,t5,excitement / lights / all,4,0.8927
2024,burn_status,B - Symbolism,t3,stories / here / there,C - Emotions,t2,campmates / all / missing,4,-0.3112
2024,burn_status,B - Symbolism,t3,stories / here / there,C - Emotions,t1,laughter / there / excitement,4,-0.4921
2024,burn_status,B - Symbolism,t3,stories / here / there,C - Emotions,t9,overwhelmed / here / friend,4,-0.796
2024,burn_status,B - Symbolism,t3,stories / here / there,C - Emotions,t7,joy / friend / happiness,4,0.7514
2024,burn_status,B - Symbolism,t1,creating / expression / humanity,C - Emotions,t4,art / love / nova,4,-0.5443
2024,burn_status,B - Symbolism,t1,creating / expression / humanity,C - Emotions,t0,all / some / lack,4,-0.0197
2024,burn_status,B - Symbolism,t1,creating / expression / humanity,C - Emotions,t3,freedom / happy / would,4,0.1867
2024,burn_status,B - Symbolism,t1,creating / expression / humanity,C - Emotions,t8,myself / camp / night,4,-0.6134
2024,burn_status,B - Symbolism,t1,creating / expression / humanity,C - Emotions,t6,friends / lost / most,4,-0.1173
2024,burn_status,B - Symbolism,t1,creating / expression / humanity,C - Emotions,t5,excitement / lights / all,4,-0.0677
2024,burn_status,B - Symbolism,t1,creating / expression / humanity,C - Emotions,t2,campmates / all / missing,4,0.4586
2024,burn_status,B - Symbolism,t1,creating / expression / humanity,C - Emotions,t1,laughter / there / excitement,4,-0.4921
2024,burn_status,B - Symbolism,t1,creating / expression / humanity,C - Emotions,t9,overwhelmed / here / friend,4,-0.181
2024,burn_status,B - Symbolism,t1,creating / expression / humanity,C - Emotions,t7,joy / friend / happiness,4,0.3702
2024,burn_status,B - Symbolism,t6,ashes / faith / there,C - Emotions,t4,art / love / nova,4,-0.5443
2024,burn_status,B - Symbolism,t6,ashes / faith / there,C - Emotions,t0,all / some / lack,4,-0.0197
2024,burn_status,B - Symbolism,t6,ashes / faith / there,C - Emotions,t3,freedom / happy / would,4,0.1867
2024,burn_status,B - Symbolism,t6,ashes / faith / there,C - Emotions,t8,myself / camp / night,4,-0.6134
2024,burn_status,B - Symbolism,t6,ashes / faith / there,C - Emotions,t6,friends / lost / most,4,-0.1173
2024,burn_status,B - Symbolism,t6,ashes / faith / there,C - Emotions,t5,excitement / lights / all,4,-0.0677
2024,burn_status,B - Symbolism,t6,ashes / faith / there,C - Emotions,t2,campmates / all / missing,4,0.4586
2024,burn_status,B - Symbolism,t6,ashes / faith / there,C - Emotions,t1,laughter / there / excitement,4,-0.4921
2024,burn_status,B - Symbolism,t6,ashes / faith / there,C - Emotions,t9,overwhelmed / here / friend,4,-0.181
2024,burn_status,B - Symbolism,t6,ashes / faith / there,C - Emotions,t7,joy / friend / happiness,4,0.3702
2024,burn_status,B - Symbolism,t2,show / healing / represents,C - Emotions,t4,art / love / nova,4,0.3691
2024,burn_status,B - Symbolism,t2,show / healing / represents,C - Emotions,t0,all / some / lack,4,-0.6441
2024,burn_status,B - Symbolism,t2,show / healing / represents,C - Emotions,t3,freedom / happy / would,4,-0.0622
2024,burn_status,B - Symbolism,t2,show / healing / represents,C - Emotions,t8,myself / camp / night,4,-0.539
2024,burn_status,B - Symbolism,t2,show / healing / represents,C - Emotions,t6,friends / lost / most,4,-0.5373
2024,burn_status,B - Symbolism,t2,show / healing / represents,C - Emotions,t5,excitement / lights / all,4,0.8927
2024,burn_status,B - Symbolism,t2,show / healing / represents,C - Emotions,t2,campmates / all / missing,4,-0.3112
2024,burn_status,B - Symbolism,t2,show / healing / represents,C - Emotions,t1,laughter / there / excitement,4,-0.4921
2024,burn_status,B - Symbolism,t2,show / healing / represents,C - Emotions,t9,overwhelmed / here / friend,4,-0.796
2024,burn_status,B - Symbolism,t2,show / healing / represents,C - Emotions,t7,joy / friend / happiness,4,0.7514
2024,burn_status,B - Symbolism,t5,art / non / space,C - Emotions,t4,art / love / nova,4,0.9718
2024,burn_status,B - Symbolism,t5,art / non / space,C - Emotions,t0,all / some / lack,4,-0.7819
2024,burn_status,B - Symbolism,t5,art / non / space,C - Emotions,t3,freedom / happy / would,4,0.5869
2024,burn_status,B - Symbolism,t5,art / non / space,C - Emotions,t8,myself / camp / night,4,0.0011
2024,burn_status,B - Symbolism,t5,art / non / space,C - Emotions,t6,friends / lost / most,4,-0.7353
2024,burn_status,B - Symbolism,t5,art / non / space,C - Emotions,t5,excitement / lights / all,4,0.1479
2024,burn_status,B - Symbolism,t5,art / non / space,C - Emotions,t2,campmates / all / missing,4,0.2837
2024,burn_status,B - Symbolism,t5,art / non / space,C - Emotions,t1,laughter / there / excitement,4,-0.3699
2024,burn_status,B - Symbolism,t5,art / non / space,C - Emotions,t9,overwhelmed / here / friend,4,0.0003
2024,burn_status,B - Symbolism,t5,art / non / space,C - Emotions,t7,joy / friend / happiness,4,0.1339
2024,burn_status,B - Symbolism,t7,freedom / emotional,C - Emotions,t4,art / love / nova,4,-0.0161
2024,burn_status,B - Symbolism,t7,freedom / emotional,C - Emotions,t0,all / some / lack,4,-0.029
2024,burn_status,B - Symbolism,t7,freedom / emotional,C - Emotions,t3,freedom / happy / would,4,-0.6385
2024,burn_status,B - Symbolism,t7,freedom / emotional,C - Emotions,t8,myself / camp / night,4,-0.1309
2024,burn_status,B - Symbolism,t7,freedom / emotional,C - Emotions,t6,friends / lost / most,4,0.1069
2024,burn_status,B - Symbolism,t7,freedom / emotional,C - Emotions,t5,excitement / lights / all,4,0.824
2024,burn_status,B - Symbolism,t7,freedom / emotional,C - Emotions,t2,campmates / all / missing,4,-0.8353
2024,burn_status,B - Symbolism,t7,freedom / emotional,C - Emotions,t1,laughter / there / excitement,4,0.1207
2024,burn_status,B - Symbolism,t7,freedom / emotional,C - Emotions,t9,overwhelmed / here / friend,4,-0.6756
2024,burn_status,B - Symbolism,t7,freedom / emotional,C - Emotions,t7,joy / friend / happiness,4,0.4015
2024,burn_status,J - Survival,t4,weeks / cup / tent,H - Experiences,t4,weather / art / serendipity,4,-0.4949
2024,burn_status,J - Survival,t4,weeks / cup / tent,H - Experiences,t0,drugs / bad / too,4,-0.2589
2024,burn_status,J - Survival,t4,weeks / cup / tent,H - Experiences,t3,art / was / own,4,0.9092
2024,burn_status,J - Survival,t4,weeks / cup / tent,H - Experiences,t1,community / heat / friends,4,-0.4353
2024,burn_status,J - Survival,t4,weeks / cup / tent,H - Experiences,t6,fun / dust / love,4,0.0012
2024,burn_status,J - Survival,t4,weeks / cup / tent,H - Experiences,t5,camp / doing / issues,4,-0.9066
2024,burn_status,J - Survival,t4,weeks / cup / tent,H - Experiences,t2,being / here / new,4,0.1448
2024,burn_status,J - Survival,t4,weeks / cup / tent,H - Experiences,t7,all / positive / experiences,4,-0.4196
2024,burn_status,J - Survival,t0,love / self / gifting,H - Experiences,t4,weather / art / serendipity,4,-0.1363
2024,burn_status,J - Survival,t0,love / self / gifting,H - Experiences,t0,drugs / bad / too,4,0.9995
2024,burn_status,J - Survival,t0,love / self / gifting,H - Experiences,t3,art / was / own,4,-0.3726
2024,burn_status,J - Survival,t0,love / self / gifting,H - Experiences,t1,community / heat / friends,4,0.5998
2024,burn_status,J - Survival,t0,love / self / gifting,H - Experiences,t6,fun / dust / love,4,-0.0396
2024,burn_status,J - Survival,t0,love / self / gifting,H - Experiences,t5,camp / doing / issues,4,0.6109
2024,burn_status,J - Survival,t0,love / self / gifting,H - Experiences,t2,being / here / new,4,-0.1644
2024,burn_status,J - Survival,t0,love / self / gifting,H - Experiences,t7,all / positive / experiences,4,-0.4105
2024,burn_status,J - Survival,t3,bike / community / engagement,H - Experiences,t4,weather / art / serendipity,4,0.149
2024,burn_status,J - Survival,t3,bike / community / engagement,H - Experiences,t0,drugs / bad / too,4,-0.7909
2024,burn_status,J - Survival,t3,bike / community / engagement,H - Experiences,t3,art / was / own,4,0.8339
2024,burn_status,J - Survival,t3,bike / community / engagement,H - Experiences,t1,community / heat / friends,4,-0.3441
2024,burn_status,J - Survival,t3,bike / community / engagement,H - Experiences,t6,fun / dust / love,4,-0.3333
2024,burn_status,J - Survival,t3,bike / community / engagement,H - Experiences,t5,camp / doing / issues,4,-0.9213
2024,burn_status,J - Survival,t3,bike / community / engagement,H - Experiences,t2,being / here / new,4,-0.1732
2024,burn_status,J - Survival,t3,bike / community / engagement,H - Experiences,t7,all / positive / experiences,4,-0.1866
2024,burn_status,J - Survival,t1,days / water / bottle,H - Experiences,t4,weather / art / serendipity,4,0.8799
2024,burn_status,J - Survival,t1,days / water / bottle,H - Experiences,t0,drugs / bad / too,4,-0.301
2024,burn_status,J - Survival,t1,days / water / bottle,H - Experiences,t3,art / was / own,4,0.3951
2024,burn_status,J - Survival,t1,days / water / bottle,H - Experiences,t1,community / heat / friends,4,0.5458
2024,burn_status,J - Survival,t1,days / water / bottle,H - Experiences,t6,fun / dust / love,4,-0.9256
2024,burn_status,J - Survival,t1,days / water / bottle,H - Experiences,t5,camp / doing / issues,4,-0.2922
2024,burn_status,J - Survival,t1,days / water / bottle,H - Experiences,t2,being / here / new,4,-0.8818
2024,burn_status,J - Survival,t1,days / water / bottle,H - Experiences,t7,all / positive / experiences,4,-0.4832
2024,burn_status,J - Survival,t6,ask / days / help,H - Experiences,t4,weather / art / serendipity,4,-0.7336
2024,burn_status,J - Survival,t6,ask / days / help,H - Experiences,t0,drugs / bad / too,4,-0.3705
2024,burn_status,J - Survival,t6,ask / days / help,H - Experiences,t3,art / was / own,4,-0.2222
2024,burn_status,J - Survival,t6,ask / days / help,H - Experiences,t1,community / heat / friends,4,-0.9188
2024,burn_status,J - Survival,t6,ask / days / help,H - Experiences,t6,fun / dust / love,4,0.9492
2024,burn_status,J - Survival,t6,ask / days / help,H - Experiences,t5,camp / doing / issues,4,-0.0463
2024,burn_status,J - Survival,t6,ask / days / help,H - Experiences,t2,being / here / new,4,0.9786
2024,burn_status,J - Survival,t6,ask / days / help,H - Experiences,t7,all / positive / experiences,4,0.8074
2024,burn_status,J - Survival,t2,share / food / good,H - Experiences,t4,weather / art / serendipity,4,-0.0864
2024,burn_status,J - Survival,t2,share / food / good,H - Experiences,t0,drugs / bad / too,4,-0.2133
2024,burn_status,J - Survival,t2,share / food / good,H - Experiences,t3,art / was / own,4,-0.8116
2024,burn_status,J - Survival,t2,share / food / good,H - Experiences,t1,community / heat / friends,4,-0.382
2024,burn_status,J - Survival,t2,share / food / good,H - Experiences,t6,fun / dust / love,4,0.6546
2024,burn_status,J - Survival,t2,share / food / good,H - Experiences,t5,camp / doing / issues,4,0.5865
2024,burn_status,J - Survival,t2,share / food / good,H - Experiences,t2,being / here / new,4,0.5814
2024,burn_status,J - Survival,t2,share / food / good,H - Experiences,t7,all / positive / experiences,4,0.9528
2024,burn_status,J - Survival,t5,cup / supplies / shade,H - Experiences,t4,weather / art / serendipity,4,-0.421
2024,burn_status,J - Survival,t5,cup / supplies / shade,H - Experiences,t0,drugs / bad / too,4,-0.8443
2024,burn_status,J - Survival,t5,cup / supplies / shade,H - Experiences,t3,art / was / own,4,0.3311
2024,burn_status,J - Survival,t5,cup / supplies / shade,H - Experiences,t1,community / heat / friends,4,-0.9353
2024,burn_status,J - Survival,t5,cup / supplies / shade,H - Experiences,t6,fun / dust / love,4,0.513
2024,burn_status,J - Survival,t5,cup / supplies / shade,H - Experiences,t5,camp / doing / issues,4,-0.6093
2024,burn_status,J - Survival,t5,cup / supplies / shade,H - Experiences,t2,being / here / new,4,0.6374
2024,burn_status,J - Survival,t5,cup / supplies / shade,H - Experiences,t7,all / positive / experiences,4,0.5537
2024,burn_status,J - Survival,t7,emotional / support / camp,H - Experiences,t4,weather / art / serendipity,4,-0.3618
2024,burn_status,J - Survival,t7,emotional / support / camp,H - Experiences,t0,drugs / bad / too,4,0.8059
2024,burn_status,J - Survival,t7,emotional / support / camp,H - Experiences,t3,art / was / own,4,-0.7381
2024,burn_status,J - Survival,t7,emotional / support / camp,H - Experiences,t1,community / heat / friends,4,0.2018
2024,burn_status,J - Survival,t7,emotional / support / camp,H - Experiences,t6,fun / dust / love,4,0.4636
2024,burn_status,J - Survival,t7,emotional / support / camp,H - Experiences,t5,camp / doing / issues,4,0.8156
2024,burn_status,J - Survival,t7,emotional / support / camp,H - Experiences,t2,being / here / new,4,0.3201
2024,burn_status,J - Survival,t7,emotional / support / camp,H - Experiences,t7,all / positive / experiences,4,0.1748
2024,age_band,J - Survival,t4,weeks / cup / tent,H - Experiences,t4,weather / art / serendipity,5,-0.0876
2024,age_band,J - Survival,t4,weeks / cup / tent,H - Experiences,t0,drugs / bad / too,5,-0.6255
2024,age_band,J - Survival,t4,weeks / cup / tent,H - Experiences,t3,art / was / own,5,-0.255
2024,age_band,J - Survival,t4,weeks / cup / tent,H - Experiences,t1,community / heat / friends,5,-0.2876
2024,age_band,J - Survival,t4,weeks / cup / tent,H - Experiences,t6,fun / dust / love,5,0.6364
2024,age_band,J - Survival,t4,weeks / cup / tent,H - Experiences,t2,being / here / new,5,-0.584
2024,age_band,J - Survival,t4,weeks / cup / tent,H - Experiences,t5,camp / doing / issues,5,0.1098
2024,age_band,J - Survival,t4,weeks / cup / tent,H - Experiences,t7,all / positive / experiences,5,0.5036
2024,age_band,J - Survival,t0,love / self / gifting,H - Experiences,t4,weather / art / serendipity,5,-0.3789
2024,age_band,J - Survival,t0,love / self / gifting,H - Experiences,t0,drugs / bad / too,5,0.7981
2024,age_band,J - Survival,t0,love / self / gifting,H - Experiences,t3,art / was / own,5,0.6757
2024,age_band,J - Survival,t0,love / self / gifting,H - Experiences,t1,community / heat / friends,5,0.1131
2024,age_band,J - Survival,t0,love / self / gifting,H - Experiences,t6,fun / dust / love,5,-0.4723
2024,age_band,J - Survival,t0,love / self / gifting,H - Experiences,t2,being / here / new,5,0.5458
2024,age_band,J - Survival,t0,love / self / gifting,H - Experiences,t5,camp / doing / issues,5,-0.584
2024,age_band,J - Survival,t0,love / self / gifting,H - Experiences,t7,all / positive / experiences,5,-0.0272
2024,age_band,J - Survival,t3,bike / community / engagement,H - Experiences,t4,weather / art / serendipity,5,0.9086
2024,age_band,J - Survival,t3,bike / community / engagement,H - Experiences,t0,drugs / bad / too,5,-0.3696
2024,age_band,J - Survival,t3,bike / community / engagement,H - Experiences,t3,art / was / own,5,-0.5582
2024,age_band,J - Survival,t3,bike / community / engagement,H - Experiences,t1,community / heat / friends,5,-0.1649
2024,age_band,J - Survival,t3,bike / community / engagement,H - Experiences,t6,fun / dust / love,5,0.0771
2024,age_band,J - Survival,t3,bike / community / engagement,H - Experiences,t2,being / here / new,5,0.4428
2024,age_band,J - Survival,t3,bike / community / engagement,H - Experiences,t5,camp / doing / issues,5,0.8843
2024,age_band,J - Survival,t3,bike / community / engagement,H - Experiences,t7,all / positive / experiences,5,-0.8504
2024,age_band,J - Survival,t1,days / water / bottle,H - Experiences,t4,weather / art / serendipity,5,-0.0711
2024,age_band,J - Survival,t1,days / water / bottle,H - Experiences,t0,drugs / bad / too,5,0.6487
2024,age_band,J - Survival,t1,days / water / bottle,H - Experiences,t3,art / was / own,5,0.7723
2024,age_band,J - Survival,t1,days / water / bottle,H - Experiences,t1,community / heat / friends,5,-0.6283
2024,age_band,J - Survival,t1,days / water / bottle,H - Experiences,t6,fun / dust / love,5,0.1665
2024,age_band,J - Survival,t1,days / water / bottle,H - Experiences,t2,being / here / new,5,0.5196
2024,age_band,J - Survival,t1,days / water / bottle,H - Experiences,t5,camp / doing / issues,5,-0.3596
2024,age_band,J - Survival,t1,days / water / bottle,H - Experiences,t7,all / positive / experiences,5,0.0317
2024,age_band,J - Survival,t6,ask / days / help,H - Experiences,t4,weather / art / serendipity,5,0.7638
2024,age_band,J - Survival,t6,ask / days / help,H - Experiences,t0,drugs / bad / too,5,0.1702
2024,age_band,J - Survival,t6,ask / days / help,H - Experiences,t3,art / was / own,5,-0.3262
2024,age_band,J - Survival,t6,ask / days / help,H - Experiences,t1,community / heat / friends,5,0.0042
2024,age_band,J - Survival,t6,ask / days / help,H - Experiences,t6,fun / dust / love,5,-0.2165
2024,age_band,J - Survival,t6,ask / days / help,H - Experiences,t2,being / here / new,5,-0.2143
2024,age_band,J - Survival,t6,ask / days / help,H - Experiences,t5,camp / doing / issues,5,0.5723
2024,age_band,J - Survival,t6,ask / days / help,H - Experiences,t7,all / positive / experiences,5,-0.635
2024,age_band,J - Survival,t5,cup / supplies / shade,H - Experiences,t4,weather / art / serendipity,5,-0.7221
2024,age_band,J - Survival,t5,cup / supplies / shade,H - Experiences,t0,drugs / bad / too,5,-0.319
2024,age_band,J - Survival,t5,cup / supplies / shade,H - Experiences,t3,art / was / own,5,-0.0152
2024,age_band,J - Survival,t5,cup / supplies / shade,H - Experiences,t1,community / heat / friends,5,0.3102
2024,age_band,J - Survival,t5,cup / supplies / shade,H - Experiences,t6,fun / dust / love,5,0.1025
2024,age_band,J - Survival,t5,cup / supplies / shade,H - Experiences,t2,being / here / new,5,-0.4972
2024,age_band,J - Survival,t5,cup / supplies / shade,H - Experiences,t5,camp / doing / issues,5,-0.4608
2024,age_band,J - Survival,t5,cup / supplies / shade,H - Experiences,t7,all / positive / experiences,5,0.7499
2024,age_band,J - Survival,t2,share / food / good,H - Experiences,t4,weather / art / serendipity,5,0.027
2024,age_band,J - Survival,t2,share / food / good,H - Experiences,t0,drugs / bad / too,5,-0.7469
2024,age_band,J - Survival,t2,share / food / good,H - Experiences,t3,art / was / own,5,-0.7474
2024,age_band,J - Survival,t2,share / food / good,H - Experiences,t1,community / heat / friends,5,0.4775
2024,age_band,J - Survival,t2,share / food / good,H - Experiences,t6,fun / dust / love,5,0.0293
2024,age_band,J - Survival,t2,share / food / good,H - Experiences,t2,being / here / new,5,-0.6141
2024,age_band,J - Survival,t2,share / food / good,H - Experiences,t5,camp / doing / issues,5,0.3391
2024,age_band,J - Survival,t2,share / food / good,H - Experiences,t7,all / positive / experiences,5,0.1187
2024,age_band,J - Survival,t7,emotional / support / camp,H - Experiences,t4,weather / art / serendipity,5,0.9907
2024,age_band,J - Survival,t7,emotional / support / camp,H - Experiences,t0,drugs / bad / too,5,-0.2999
2024,age_band,J - Survival,t7,emotional / support / camp,H - Experiences,t3,art / was / own,5,-0.6875
2024,age_band,J - Survival,t7,emotional / support / camp,H - Experiences,t1,community / heat / friends,5,0.0377
2024,age_band,J - Survival,t7,emotional / support / camp,H - Experiences,t6,fun / dust / love,5,-0.1115
2024,age_band,J - Survival,t7,emotional / support / camp,H - Experiences,t2,being / here / new,5,0.1744
2024,age_band,J - Survival,t7,emotional / support / camp,H - Experiences,t5,camp / doing / issues,5,0.9457
2024,age_band,J - Survival,t7,emotional / support / camp,H - Experiences,t7,all / positive / experiences,5,-0.9201
2024,burn_status,F - Costumes,t4,clothes / normal / ahead,K - Diversity & Inclusion,t4,sure / bit / watch,4,0.622
2024,burn_status,F - Costumes,t4,clothes / normal / ahead,K - Diversity & Inclusion,t0,white / male / art,4,-0.6892
2024,burn_status,F - Costumes,t4,clothes / normal / ahead,K - Diversity & Inclusion,t3,look / sometimes / care,4,0.0956
2024,burn_status,F - Costumes,t4,clothes / normal / ahead,K - Diversity & Inclusion,t1,more / much / way,4,-0.3697
2024,burn_status,F - Costumes,t4,clothes / normal / ahead,K - Diversity & Inclusion,t6,sometimes / english / hot,4,-0.3752
2024,burn_status,F - Costumes,t4,clothes / normal / ahead,K - Diversity & Inclusion,t2,others / express / census,4,0.2193
2024,burn_status,F - Costumes,t4,clothes / normal / ahead,K - Diversity & Inclusion,t5,hair / dress / dye,4,-0.8394
2024,burn_status,F - Costumes,t4,clothes / normal / ahead,K - Diversity & Inclusion,t8,white / skin / accent,4,0.8726
2024,burn_status,F - Costumes,t4,clothes / normal / ahead,K - Diversity & Inclusion,t7,fun / life / tattoos,4,-0.1483
2024,burn_status,F - Costumes,t0,both / positively / most,K - Diversity & Inclusion,t4,sure / bit / watch,4,0.7512
2024,burn_status,F - Costumes,t0,both / positively / most,K - Diversity & Inclusion,t0,white / male / art,4,-0.1915
2024,burn_status,F - Costumes,t0,both / positively / most,K - Diversity & Inclusion,t3,look / sometimes / care,4,-0.3196
2024,burn_status,F - Costumes,t0,both / positively / most,K - Diversity & Inclusion,t1,more / much / way,4,-0.7809
