Folder,Subfolder,Filename,EntryIndex,Raw Transcription,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Norm_Age,Norm_Gender,Norm_Burn_Count,Norm_Region,Burn_Status
2025 Field Notes Images,B2 - Survival,IMG_4014.HEIC,1,No entries found,,,,,,,,,,,,U,,Unknown,Unknown
2025 Field Notes Images,A2 - Transformation ,IMG_4002.HEIC,1,No entries found,,,,,,,,,,,,U,,Unknown,Unknown
2025 Field Notes Images,D2 - Boundaries of Humanity,IMG_4033.HEIC,1,"Q1: 45 | Q2: F | Q3: Louisville, ky | Q4: 3 | Q5: [Blank] | Q6: Literally everything | Q7: Nope | Q8: I am a vessel of love | Q9: We are ONE",45,F,"Louisville, ky",3,[Blank],Literally everything,Nope,I am a vessel of love,We are ONE,,45,F,3,US Other,Sophomore
2025 Field Notes Images,B1 - Survival,IMG_4070.HEIC,1,"Q1: 32 | Q2: Male | Q3: Baker Beach, San Francisco | Q4: 1st time | Q5: Water | Q6: Rebar stakes for grill | Q7: 10 more days | Q8: Commonal meals & Checkins",32,Male,"Baker Beach, San Francisco",1st time,Water,Rebar stakes for grill,10 more days,Commonal meals & Checkins,,,32,M,1,Local/West,Virgin
2025 Field Notes Images,C2 - Emotions & Experiences,IMG_4026.HEIC,1,"Q1: 62 | Q2: Male? | Q3: Kentucky, USA | Q4: 11 | Q5: 13 hour exodus, alcohol | Q6: The general Amosphere of choperation and eviles of bierner community.",62,Male?,"Kentucky, USA",11,"13 hour exodus, alcohol",The general Amosphere of choperation and eviles of bierner community.,,,,,62,O,11,US Other,Elder
2025 Field Notes Images,C2 - Emotions & Experiences,IMG_4026.HEIC,2,Q1: 38 | Q2: Fe | Q3: S | Q4: 6 | Q5: 0 | Q6: [Blank],38,Fe,S,6,0,[Blank],,,,,38,O,6,US Other,Veteran
2025 Field Notes Images,E1 - Relationships,IMG_4143.HEIC,1,Q1: 26 | Q2: MALE | Q3: SF | Q4: 3 | Q5: Yes. Costco connected us. Didn't last. | Q6: No. | Q7: There's a clock on it. Things move fast and distractions are everywhere.,26,MALE,SF,3,Yes. Costco connected us. Didn't last.,No.,There's a clock on it. Things move fast and distractions are everywhere.,,,,26,M,3,Local/West,Sophomore
2025 Field Notes Images,D1 - Boundaries of Humanity,IMG_4124.HEIC,1,"Q1: 34 | Q2: Male | Q3: Nomad | Q4: 4 | Q5: Not sure, except our collective ID as humans | Q6: We think, Al doesn't (and Ive worked in Al). | Q7: Its possible. If a machine is Sentient, It should be treated with personhood. | Q8: Unsure | Q9: Im an animist, So I think all things have personhood. Thus the lines of human & the more than human world get blurry.",34,Male,Nomad,4,"Not sure, except our collective ID as humans","We think, Al doesn't (and Ive worked in Al).","Its possible. If a machine is Sentient, It should be treated with personhood.",Unsure,"Im an animist, So I think all things have personhood. Thus the lines of human & the more than human world get blurry.",,34,M,4,US Other,Veteran
2025 Field Notes Images,A1 - Transformation,IMG_4061.HEIC,1,"Q1: 39 | Q2: Male | Q3: Calgary/Cal | Q4: 1 | Q5: Yes, brought me bick | Q6: [Illegible] to roots | Q7: - Sudden Change | Q8: My women and friends",39,Male,Calgary/Cal,1,"Yes, brought me bick",[Illegible] to roots,- Sudden Change,My women and friends,,,39,M,1,Local/West,Virgin
2025 Field Notes Images,A1 - Transformation,IMG_4061.HEIC,2,Q1: 33 | Q2: Femcle | Q3: my house (watt to) | Q4: 0 | Q5: Ves | Q6: yes-hila lever | Q7: yes-comus | Q8: freedom,33,Femcle,my house (watt to),0,Ves,yes-hila lever,yes-comus,freedom,,,33,O,0,US Other,Sophomore
2025 Field Notes Images,F1 - Diversity & Inclusion,IMG_4151.HEIC,1,"Q1: 35 | Q2: Male | Q3: Dallas, PA (Home down) | Q4: First Timer | Q5: I'm 6'8"" and I've been told I'm very Intimadating, but I'm a very sarsitive, gentle, mindful Person. | Q6: I han matige &xtoxic ampuls tattoos on my Les, and a 2 tattoos that I gaut on 22 02/22/2022 | Q7: I Feel like people are abrand to delle to me, I make sun bo Smile and introduce myself. | Q8: No, I am who I am, anthite.",35,Male,"Dallas, PA (Home down)",First Timer,"I'm 6'8"" and I've been told I'm very Intimadating, but I'm a very sarsitive, gentle, mindful Person.","I han matige &xtoxic ampuls tattoos on my Les, and a 2 tattoos that I gaut on 22 02/22/2022","I Feel like people are abrand to delle to me, I make sun bo Smile and introduce myself.","No, I am who I am, anthite.",,,35,M,1,Local/West,Virgin
2025 Field Notes Images,C1 - Emotions & Experiences,IMG_4110.HEIC,1,"Q1: 54 | Q2: Gender-Fluid | Q3: Campbell, CA | Q4: 3 | Q5: Consent Violations, MUDDY (2023) | Q6: Body Positivity, Space to spontaneously create art, Deep yet ephemeral conversations/ interactions | Q7: Joy, Freedom of expression, Loneliness (esp. if feeling ""othered"" or excluded). | Q8: Someone's Reaction to taking a shot of ""Reaper"" infused Absinthe. | Q9: My nephew's obituary in the Temple. Other people feeling deeply in multiple situations. | Q10: SO MANY ART PIECES ! also, the sacred Fire on 6:00 37",54,Gender-Fluid,"Campbell, CA",3,"Consent Violations, MUDDY (2023)","Body Positivity, Space to spontaneously create art, Deep yet ephemeral conversations/ interactions","Joy, Freedom of expression, Loneliness (esp. if feeling ""othered"" or excluded).","Someone's Reaction to taking a shot of ""Reaper"" infused Absinthe.",My nephew's obituary in the Temple. Other people feeling deeply in multiple situations.,"SO MANY ART PIECES ! also, the sacred Fire on 6:00 37",54,NB,3,Local/West,Sophomore
2025 Field Notes Images,A1 - Transformation,IMG_4058.HEIC,1,Q1: [Blank] | Q2: [Blank] | Q3: [Blank] | Q4: [Blank] | Q5: [Blank] | Q6: [Blank] | Q7: [Blank] | Q8: yes Iam even more Inclusive. and I always pack it in and pack it out! | Q9: I think I changed my way of thinking about others and how Creative you can be Whether it's small or large scale,[Blank],[Blank],[Blank],[Blank],[Blank],[Blank],[Blank],yes Iam even more Inclusive. and I always pack it in and pack it out!,I think I changed my way of thinking about others and how Creative you can be Whether it's small or large scale,,,O,,Local/West,Unknown
2025 Field Notes Images,A1 - Transformation,IMG_4059.HEIC,1,Q1: 86 | Q2: F | Q3: Curiosity | San Fran. | Q4: 8 | Q5: Yes. | Q6: Yes | Q7: No | Q8: No.,86,F,Curiosity | San Fran.,8,Yes.,Yes,No,No.,,,86,F,8,US Other,Veteran
2025 Field Notes Images,A1 - Transformation,IMG_4053.HEIC,1,"Q1: 52 | Q2: M | Q3: Hawthorn Woods IL | Q4: 3 | Q5: Yes, Too much to say | Q6: Yes, "" | Q7: Det gradual | Q8: Absolutely up around gender issues | Q9: Just to be as accepting as I can in all sort of ways. :)",52,M,Hawthorn Woods IL,3,"Yes, Too much to say","Yes, """,Det gradual,Absolutely up around gender issues,Just to be as accepting as I can in all sort of ways. :),,52,M,3,US Other,Sophomore
2025 Field Notes Images,A1 - Transformation,IMG_4062.HEIC,1,Q1: Pony | Q2: 90 | Q3: male | Q4: kfow | Q5: 3 | Q6: 2010 | Q7: [Illegible] | Q8: werver | Q9: jodawetel,Pony,90,male,kfow,3,2010,[Illegible],werver,jodawetel,,,O,,US Other,Unknown
2025 Field Notes Images,A1 - Transformation,IMG_4064.HEIC,1,"Q1: 44 | Q2: M | Q3: CA (San Diego) | Q4: 7x | Q5: y; it's made space to look, see $be | Q6: N, been here, dove that | Q7: N/A | Q8: 1sh, somewhat i making space opens doors | Q9: patience, planning, adaptability, regard for others",44,M,CA (San Diego),7x,"y; it's made space to look, see $be","N, been here, dove that",N/A,"1sh, somewhat i making space opens doors","patience, planning, adaptability, regard for others",,44,M,7,Local/West,Veteran
2025 Field Notes Images,A1 - Transformation,IMG_4054.HEIC,1,"Q1: 41 years old | Q2: female | Q3: Bend Oregon | Q4: 3 | Q5: 2015 opened my world met my peoples, grew as a person. More open to new experiances | Q6: yes. I had heard of BM for 10 years + before I came. Became my bucket list for life | Q7: both. On the playa and when I got hame I also hanged to come to burning man - left a CTR | Q8: yes. This year especially. I am far more open | Q9: Welcoming comunnity. Giet 5",41 years old,female,Bend Oregon,3,"2015 opened my world met my peoples, grew as a person. More open to new experiances",yes. I had heard of BM for 10 years + before I came. Became my bucket list for life,both. On the playa and when I got hame I also hanged to come to burning man - left a CTR,yes. This year especially. I am far more open,Welcoming comunnity. Giet 5,,41,F,3,US Other,Sophomore
2025 Field Notes Images,A1 - Transformation,IMG_4057.HEIC,1,"Q1: 56 | Q2: M | Q3: Cambridge Massachusetts. | Q4: ONE | Q5: YES, TUESDAY MORNING I RAN my FIRST ULTRA MARATHON | Q6: SURE - ANY MASSIVE NEW EXPERIENCE WILL change you! | Q7: STILL EVOLVING, slow | Q8: shows you down and allows real conversations | Q9: LACK OR TRANSACTIONS $, ARTISTIC EXPRESSION",56,M,Cambridge Massachusetts.,ONE,"YES, TUESDAY MORNING I RAN my FIRST ULTRA MARATHON",SURE - ANY MASSIVE NEW EXPERIENCE WILL change you!,"STILL EVOLVING, slow",shows you down and allows real conversations,"LACK OR TRANSACTIONS $, ARTISTIC EXPRESSION",,56,M,,Local/West,Unknown
2025 Field Notes Images,A1 - Transformation,IMG_4052.HEIC,1,"Q1: 42 | Q2: F | Q3: Longmont, co | Q4: 6 | Q5: no but the communitydid. I met burner's way before I could afford burming man & they taught me acceptance of so many things | Q6: no, in developmental psychology we talk about dandelions + orchids. (differential susceptibility to environmental Influences). Orchids need specialized care & will wilt without it but bloom in the right environment. Dandelions are ok everywhere. I'm a dandelion. | Q7: There is a storm coming So I have togo! ",42,F,"Longmont, co",6,no but the communitydid. I met burner's way before I could afford burming man & they taught me acceptance of so many things,"no, in developmental psychology we talk about dandelions + orchids. (differential susceptibility to environmental Influences). Orchids need specialized care & will wilt without it but bloom in the right environment. Dandelions are ok everywhere. I'm a dandelion.",There is a storm coming So I have togo!,,,,42,F,6,US Other,Veteran
2025 Field Notes Images,A1 - Transformation,IMG_4063.HEIC,1,"Q1: Virgin! | Q2: Yes. Opennesse+experienery others. Also a reminder | Q3: The reliance on self expression, The 10 principles should be carefully lived, not just this week. | Q4: Yes. Evepre tells of ""you don't get it unti"" you experience it.""I also come searching for change/answers, learned me it | Q5: Greedel | Q6: It is just to be open and welcome to all without wait/hes.itation | Q7: Exparentred w/ others, watching Pleje TV",Virgin!,Yes. Opennesse+experienery others. Also a reminder,"The reliance on self expression, The 10 principles should be carefully lived, not just this week.","Yes. Evepre tells of ""you don't get it unti"" you experience it.""I also come searching for change/answers, learned me it",Greedel,It is just to be open and welcome to all without wait/hes.itation,"Exparentred w/ others, watching Pleje TV",,,,,O,,Local/West,Unknown
2025 Field Notes Images,A1 - Transformation,IMG_4055.HEIC,1,"Q1: 34 | Q2: Female | Q3: Oakland, CA | Q4: 2 | Q5: Yes, it gave me more hope that meny, if not most people, want to build a rodienlly different world based on valves it orbr Feels like the default world lacks | Q6: No, in fact I thought it was a bit trite that people had to go to a party in the desert to learn te 10 vale os",34,Female,"Oakland, CA",2,"Yes, it gave me more hope that meny, if not most people, want to build a rodienlly different world based on valves it orbr Feels like the default world lacks","No, in fact I thought it was a bit trite that people had to go to a party in the desert to learn te 10 vale os",,,,,34,F,2,Local/West,Sophomore
2025 Field Notes Images,A1 - Transformation,IMG_4055.HEIC,2,"Q7: Gradual | Q8: It is charging it | Q9: I dont think there is a single factor as there is so much diversity & creativity that makes up the city, and all of trose things combined create the beauty",,,,,,,Gradual,It is charging it,"I dont think there is a single factor as there is so much diversity & creativity that makes up the city, and all of trose things combined create the beauty",,,U,,Unknown,Unknown
2025 Field Notes Images,A1 - Transformation,IMG_4060.HEIC,1,"Q1: Big White | Q2: LED | Q3: Toilet signs, + more hot girls will come to the born | Q4: everyone wins",Big White,LED,"Toilet signs, + more hot girls will come to the born",everyone wins,,,,,,,,O,,US Other,Unknown
2025 Field Notes Images,A1 - Transformation,IMG_4051.HEIC,1,No entries found,,,,,,,,,,,,U,,Unknown,Unknown
2025 Field Notes Images,A1 - Transformation,IMG_4050.HEIC,1,No entries found,,,,,,,,,,,,U,,Unknown,Unknown
2025 Field Notes Images,A1 - Transformation,IMG_4056.HEIC,1,"Q1: 32 | Q2: Female | Q3: San Francisco, CA | Q4: 6 times! | Q5: probably the first time. Experiencing a city made from us is absolutely life Changing Watching ewire from nothing into something definitely changes you Riding through Wadsnorth and Empire and Gerlach is life charging! Why? The atmosphere, the landscape, the entire farney is a one-of-a-kind experience | Q6: yes I expected myself to change or really discover a part of me that has always mthin | Q7: It's gradual and each year you attend and participate the ""life chage"" Is evolving slowly.",32,Female,"San Francisco, CA",6 times!,"probably the first time. Experiencing a city made from us is absolutely life Changing Watching ewire from nothing into something definitely changes you Riding through Wadsnorth and Empire and Gerlach is life charging! Why? The atmosphere, the landscape, the entire farney is a one-of-a-kind experience",yes I expected myself to change or really discover a part of me that has always mthin,"It's gradual and each year you attend and participate the ""life chage"" Is evolving slowly.",,,,32,F,6,Local/West,Veteran
2025 Field Notes Images,B2 - Survival,IMG_4015.HEIC,1,No entries found,,,,,,,,,,,,U,,Unknown,Unknown
2025 Field Notes Images,A2 - Transformation ,IMG_4003.HEIC,1,Q1: [Blank] | Q2: [Blank] | Q3: [Blank] | Q4: [Blank] | Q5: [Blank] | Q6: [Blank] | Q7: [Blank] | Q8: [Blank] | Q9: [Blank],[Blank],[Blank],[Blank],[Blank],[Blank],[Blank],[Blank],[Blank],[Blank],,,O,,Local/West,Unknown
2025 Field Notes Images,A2 - Transformation ,IMG_4007.HEIC,1,Q1: 52 | Q2: M | Q3: UAE | Q4: 1ST | Q5: Enjoy the freedom to be on your own Journey | Q6: Wasn't Looking to be Changed are pretty Liberal and open however enjoy Seeing other peoples Journey. | Q7: haven't felt a Change | Q8: No People are people and I Accept everyone | Q9: NA,52,M,UAE,1ST,Enjoy the freedom to be on your own Journey,Wasn't Looking to be Changed are pretty Liberal and open however enjoy Seeing other peoples Journey.,haven't felt a Change,No People are people and I Accept everyone,NA,,52,M,1,US Other,Virgin
2025 Field Notes Images,A2 - Transformation ,IMG_4005.HEIC,1,"Q1: 35 | Q2: Female | Q3: ABQ, New Mexico | Q4: 2 | Q5: Yes, it helped me with my social anxiety and also finding strength in myself. | Q6: No I did not. | Q7: very gradual | Q8: Yes, radical inclusivity has changed how I appreciate and understand everyone, & everyone's individual gifts, | Q9: Just how hard it is, finding resilience and feeling free of judgement for the first time, probably ever...",35,Female,"ABQ, New Mexico",2,"Yes, it helped me with my social anxiety and also finding strength in myself.",No I did not.,very gradual,"Yes, radical inclusivity has changed how I appreciate and understand everyone, & everyone's individual gifts,","Just how hard it is, finding resilience and feeling free of judgement for the first time, probably ever...",,35,F,2,US Other,Sophomore
2025 Field Notes Images,B2 - Survival,IMG_4018.HEIC,1,Q1: 36 | Q2: F | Q3: Czechia | Q4: 5x | Q5: eye mask | Q6: solar cooker | Q7: 14 | Q8: shade structure by campmates,36,F,Czechia,5x,eye mask,solar cooker,14,shade structure by campmates,,,36,F,5,US Other,Veteran
2025 Field Notes Images,B2 - Survival,IMG_4018.HEIC,2,"Q1: 43 | Q2: M | Q3: Czechia | Q4: 6x | Q5: dust protection | Q6: solar cookeh | Q7: 14 | Q8: as pant at camp, shade & frod",43,M,Czechia,6x,dust protection,solar cookeh,14,"as pant at camp, shade & frod",,,43,M,6,US Other,Veteran
2025 Field Notes Images,A2 - Transformation ,IMG_4004.HEIC,1,"Q1: 41 | Q2: Non-Binary | Q3: Phoenix, AZ | Q4: [Blank] | Q5: Burning Man freed me from a prison of myown MAKING | Q6: Yes. | Q7: Both | Q8: Yes, I began to recognize that people desire my authenticity! | Q9: It gave me a desire to live. And love again.",41,Non-Binary,"Phoenix, AZ",[Blank],Burning Man freed me from a prison of myown MAKING,Yes.,Both,"Yes, I began to recognize that people desire my authenticity!",It gave me a desire to live. And love again.,,41,NB,,US Other,Unknown
2025 Field Notes Images,A2 - Transformation ,IMG_4004.HEIC,2,"Q1: 40 | Q2: Female | Q3: Utah, SLC | Q4: 5 year | Q5: yes. community, play, creativity | Q6: yes - hearing all the stories | Q7: Gradual! | Q8: yes, Compassion + increased open mindedness | Q9: Art, building (creating together in community, suming adv",40,Female,"Utah, SLC",5 year,"yes. community, play, creativity",yes - hearing all the stories,Gradual!,"yes, Compassion + increased open mindedness","Art, building (creating together in community, suming adv",,40,F,5,US Other,Veteran
2025 Field Notes Images,B2 - Survival,IMG_4020.HEIC,1,No entries found,,,,,,,,,,,,U,,Unknown,Unknown
2025 Field Notes Images,B2 - Survival,IMG_4019.HEIC,1,Q1: S | Q2: F | Q3: Minder NU | Q4: 5 | Q5: water up | Q6: ID | Q7: years | Q8: community companion ship,S,F,Minder NU,5,water up,ID,years,community companion ship,,,,F,5,US Other,Veteran
2025 Field Notes Images,B2 - Survival,IMG_4016.HEIC,1,"Q1: [Blank] | Q2: male | Q3: SF Bay Area | Q4: 5 times | Q5: headlamp | Q6: pool [Illegible] | Q7: 10 days | Q8: my community helps me feel grouded, inspired, and open minded.",[Blank],male,SF Bay Area,5 times,headlamp,pool [Illegible],10 days,"my community helps me feel grouded, inspired, and open minded.",,,,M,5,Local/West,Veteran
2025 Field Notes Images,B2 - Survival,IMG_4016.HEIC,2,Q1: D35 yo | Q2: male | Q3: Reno | Q4: 3 | Q5: Camo) Pack bag | Q6: ice melt fitter/reclamation | Q7: 21 | Q8: many hands make light work,D35 yo,male,Reno,3,Camo) Pack bag,ice melt fitter/reclamation,21,many hands make light work,,,35,M,3,Local/West,Sophomore
2025 Field Notes Images,E1 - Relationships,IMG_4137.HEIC,1,Q1: 43 | Q2: M | Q3: Reno | Q4: 1 | Q5: N | Q6: N | Q7: Some so far,43,M,Reno,1,N,N,Some so far,,,,43,M,1,Local/West,Virgin
2025 Field Notes Images,E1 - Relationships,IMG_4130.HEIC,1,No entries found,,,,,,,,,,,,U,,Unknown,Unknown
2025 Field Notes Images,B2 - Survival,IMG_4017.HEIC,1,"Q1: [Blank] | Q2: [Blank] | Q3: Sacramento | Q4: 3 Official, I renegade | Q5: Extra batteries, | Q6: Lizard onesie for cold nights. | Q7: 2 weeks | Q8: Kindness in the ranton encounters of each and every person you meet",[Blank],[Blank],Sacramento,"3 Official, I renegade","Extra batteries,",Lizard onesie for cold nights.,2 weeks,Kindness in the ranton encounters of each and every person you meet,,,,O,3,US Other,Sophomore
2025 Field Notes Images,B2 - Survival,IMG_4017.HEIC,2,Q1: 75 | Q2: M | Q3: NY | Q4: 14 | Q5: ACCORDION | Q6: MUSHROOMS | Q7: 10 DAYS | Q8: MY FAMILY,75,M,NY,14,ACCORDION,MUSHROOMS,10 DAYS,MY FAMILY,,,75,M,14,US Other,Elder
2025 Field Notes Images,E1 - Relationships,IMG_4136.HEIC,1,Q1: 39 | Q2: Female | Q3: Reno | Q4: 1 | Q5: no | Q6: yes - amazing! So much fun exploring together but also apart | Q7: Some :),39,Female,Reno,1,no,yes - amazing! So much fun exploring together but also apart,Some :),,,,39,F,1,Local/West,Virgin
2025 Field Notes Images,E1 - Relationships,IMG_4140.HEIC,1,Q1: 58 | Q2: M | Q3: CARSON CITY NV | Q4: 7TH BURN! | Q5: NO NEW LOVE | Q6: NO PERMANENT LOU + | Q7: DEFINITES RECOMENA BRINGING YOUR PARTNER(S) | Q8: NO DIFFERECE WITH ROMANTIC ENTANGEMENTS IHRE OR. | Q9: DEFALT,58,M,CARSON CITY NV,7TH BURN!,NO NEW LOVE,NO PERMANENT LOU +,DEFINITES RECOMENA BRINGING YOUR PARTNER(S) NO DIFFERECE WITH ROMANTIC ENTANGEMENTS IHRE OR. DEFALT,,,,58,M,7,Local/West,Veteran
